"FFQ0005.Code.or.Value","FFQ0005.Value.Description","FFQ0005.Count","FFQ0005.Cumulative","FFQ0005.Skip.to.Item"
1,"never",1558,1558,NA
2,"1 time per month or less",1464,3022,NA
3,"2-3 times per month",1189,4211,NA
4,"1-2 times per week",603,4814,NA
5,"3-4 times per week",395,5209,NA
6,"5-6 times per week",185,5394,NA
7,"1 time per day",260,5654,NA
8,"2-3 times per day",222,5876,NA
9,"4-5 times per day",51,5927,NA
10,"6 or more times per day",23,5950,NA
88,"Blank",41,5991,NA
99,"Error",22,6013,NA
