"FFQ0019.Code.or.Value","FFQ0019.Value.Description","FFQ0019.Count","FFQ0019.Cumulative","FFQ0019.Skip.to.Item"
1,"never",1513,1513,NA
2,"1-6 times per year",1733,3246,NA
3,"7-11 times per year",601,3847,NA
4,"1 time per month",661,4508,NA
5,"2-3 times per month",701,5209,NA
6,"1 time per week",292,5501,NA
7,"2 times per week",267,5768,NA
8,"3-4 times per week",100,5868,NA
9,"5-6 times per week",37,5905,NA
10,"1 time per day",37,5942,NA
11,"2 or more times per day",15,5957,NA
88,"Blank",43,6000,NA
99,"Error",13,6013,NA
