"FFQ0022.Code.or.Value","FFQ0022.Value.Description","FFQ0022.Count","FFQ0022.Cumulative","FFQ0022.Skip.to.Item"
1,"never",397,397,NA
2,"1-6 times per year",1048,1445,NA
3,"7-11 times per year",775,2220,NA
4,"1 time per month",671,2891,NA
5,"2-3 times per month",1261,4152,NA
6,"1 time per week",501,4653,NA
7,"2 times per week",554,5207,NA
8,"3-4 times per week",389,5596,NA
9,"5-6 times per week",137,5733,NA
10,"1 time per day",94,5827,NA
11,"2 or more times per day",88,5915,NA
88,"Blank",76,5991,NA
99,"Error",22,6013,NA
