"FFQ0023B.Code.or.Value","FFQ0023B.Value.Description","FFQ0023B.Count","FFQ0023B.Cumulative","FFQ0023B.Skip.to.Item"
1,"never",1279,1279,NA
2,"1-6 times per year",1510,2789,NA
3,"7-11 times per year",525,3314,NA
4,"1 time per month",535,3849,NA
5,"2-3 times per month",538,4387,NA
6,"1 time per week",220,4607,NA
7,"2 times per week",209,4816,NA
8,"3-4 times per week",92,4908,NA
9,"5-6 times per week",34,4942,NA
10,"1 time per day",35,4977,NA
11,"2 or more times per day",15,4992,NA
88,"Blank",1006,5998,NA
99,"Error",15,6013,NA
