"FFQ0044.Code.or.Value","FFQ0044.Value.Description","FFQ0044.Count","FFQ0044.Cumulative","FFQ0044.Skip.to.Item"
1,"never",740,740,"FFQ0045"
2,"1-6 times per year",480,1220,""
3,"7-11 times per year",398,1618,""
4,"1 time per month",398,2016,""
5,"2-3 times per month",1051,3067,""
6,"1 time per week",665,3732,""
7,"2 times per week",891,4623,""
8,"3-4 times per week",763,5386,""
9,"5-6 times per week",289,5675,""
10,"1 time per day",174,5849,""
11,"2 or more times per day",40,5889,""
88,"Blank",100,5989,""
99,"Error",24,6013,""
