"FFQ0055.Code.or.Value","FFQ0055.Value.Description","FFQ0055.Count","FFQ0055.Cumulative","FFQ0055.Skip.to.Item"
1,"never",908,908,"FFQ0056"
2,"1-6 times per year",802,1710,""
3,"7-11 times per year",613,2323,""
4,"1 time per month",654,2977,""
5,"2-3 times per month",1148,4125,""
6,"1 time per week",485,4610,""
7,"2 times per week",374,4984,""
8,"3-4 times per week",291,5275,""
9,"5-6 times per week",184,5459,""
10,"1 time per day",222,5681,""
11,"2 or more times per day",202,5883,""
88,"Blank",114,5997,""
99,"Error",16,6013,""
