"FFQ0058.Code.or.Value","FFQ0058.Value.Description","FFQ0058.Count","FFQ0058.Cumulative","FFQ0058.Skip.to.Item"
1,"never",544,544,"FFQ0059"
2,"1-6 times per year",559,1103,""
3,"7-11 times per year",515,1618,""
4,"1 time per month",567,2185,""
5,"2-3 times per month",1137,3322,""
6,"1 time per week",775,4097,""
7,"2 times per week",850,4947,""
8,"3-4 times per week",553,5500,""
9,"5-6 times per week",175,5675,""
10,"1 time per day",144,5819,""
11,"2 or more times per day",78,5897,""
88,"Blank",97,5994,""
99,"Error",19,6013,""
