"FFQ0119.Code.or.Value","FFQ0119.Value.Description","FFQ0119.Count","FFQ0119.Cumulative","FFQ0119.Skip.to.Item"
1,"never",1267,1267,"FFQ0120"
2,"1-6 times per year",2239,3506,""
3,"7-11 times per year",977,4483,""
4,"1 time per month",649,5132,""
5,"2-3 times per month",487,5619,""
6,"1 time per week",137,5756,""
7,"2 times per week",86,5842,""
8,"3-4 times per week",32,5874,""
9,"5-6 times per week",7,5881,""
10,"1 time per day",16,5897,""
11,"2 or more times per day",9,5906,""
88,"Blank",97,6003,""
99,"Error",10,6013,""
