"PADACTIV.Code.or.Value","PADACTIV.Value.Description","PADACTIV.Count","PADACTIV.Cumulative","PADACTIV.Skip.to.Item"
"10","AEROBICS",450,450,NA
"11","BASEBALL",157,607,NA
"12","BASKETBALL",1074,1681,NA
"13","BICYCLING",890,2571,NA
"14","BOWLING",100,2671,NA
"15","DANCE",889,3560,NA
"16","FISHING",142,3702,NA
"17","FOOTBALL",423,4125,NA
"18","GARDENING",280,4405,NA
"19","GOLF",316,4721,NA
"20","HIKING",323,5044,NA
"21","HOCKEY",41,5085,NA
"22","HUNTING",58,5143,NA
"23","JOGGING",560,5703,NA
"24","KAYAKING",19,5722,NA
"25","PUSH-UPS",179,5901,NA
"26","RACQUETBALL",37,5938,NA
"27","ROLLERBLADING",112,6050,NA
"28","ROWING",24,6074,NA
"29","RUNNING",982,7056,NA
"30","SIT-UPS",245,7301,NA
"31","SKATING",99,7400,NA
"32","SKIING - CROSS COUNTRY",29,7429,NA
"33","SKIING - DOWNHILL",30,7459,NA
"34","SOCCER",346,7805,NA
"35","SOFTBALL",114,7919,NA
"36","STAIR CLIMBING",239,8158,NA
"37","STRETCHING",349,8507,NA
"38","SWIMMING",452,8959,NA
"39","TENNIS",148,9107,NA
"40","TREADMILL",395,9502,NA
"41","VOLLEYBALL",209,9711,NA
"42","WALKING",2187,11898,NA
"43","WEIGHT LIFTING",613,12511,NA
"44","YARD WORK",556,13067,NA
"50","BOXING",33,13100,NA
"51","FRISBEE",42,13142,NA
"52","HORSEBACK RIDING",32,13174,NA
"53","MARTIAL ARTS",46,13220,NA
"54","WRESTLING",51,13271,NA
"55","YOGA",47,13318,NA
"56","CHEERLEADING AND GYMNASTICS",22,13340,NA
"57","CHILDREN'S GAMES (E.G. DODGEBALL, KICKBALL)",11,13351,NA
"58","ROPE JUMPING",14,13365,NA
"59","SKATEBOARDING",18,13383,NA
"60","SURFING",6,13389,NA
"61","TRAMPOLINE JUMPING",12,13401,NA
"71","OTHER",38,13439,NA
".","Missing",0,13439,NA
