"FFQ0009B.Code.or.Value","FFQ0009B.Value.Description","FFQ0009B.Count","FFQ0009B.Cumulative","FFQ0009B.Skip.to.Item"
1,"never",160,160,NA
2,"1 time per month or less",629,789,NA
3,"2-3 times per month",912,1701,NA
4,"1-2 times per week",976,2677,NA
5,"3-4 times per week",767,3444,NA
6,"5-6 times per week",470,3914,NA
7,"1 time per day",744,4658,NA
8,"2-3 times per day",901,5559,NA
9,"4-5 times per day",245,5804,NA
10,"6 or more times per day",158,5962,NA
88,"Blank",466,6428,NA
99,"Error",44,6472,NA
