"FFQ0018.Code.or.Value","FFQ0018.Value.Description","FFQ0018.Count","FFQ0018.Cumulative","FFQ0018.Skip.to.Item"
1,"never",482,482,NA
2,"1-6 times per year",660,1142,NA
3,"7-11 times per year",452,1594,NA
4,"1 time per month",397,1991,NA
5,"2-3 times per month",1028,3019,NA
6,"1 time per week",564,3583,NA
7,"2 times per week",879,4462,NA
8,"3-4 times per week",988,5450,NA
9,"5-6 times per week",357,5807,NA
10,"1 time per day",462,6269,NA
11,"2 or more times per day",107,6376,NA
88,"Blank",61,6437,NA
99,"Error",35,6472,NA
