"FFQ0033.Code.or.Value","FFQ0033.Value.Description","FFQ0033.Count","FFQ0033.Cumulative","FFQ0033.Skip.to.Item"
1,"never",874,874,NA
2,"1-6 times per year",626,1500,NA
3,"7-11 times per year",586,2086,NA
4,"1 time per month",545,2631,NA
5,"2-3 times per month",1331,3962,NA
6,"1 time per week",829,4791,NA
7,"2 times per week",884,5675,NA
8,"3-4 times per week",467,6142,NA
9,"5-6 times per week",103,6245,NA
10,"1 time per day",60,6305,NA
11,"2 or more times per day",28,6333,NA
88,"Blank",99,6432,NA
99,"Error",40,6472,NA
