"FFQ0047.Code.or.Value","FFQ0047.Value.Description","FFQ0047.Count","FFQ0047.Cumulative","FFQ0047.Skip.to.Item"
1,"never",259,259,NA
2,"1-6 times per year",493,752,NA
3,"7-11 times per year",524,1276,NA
4,"1 time per month",540,1816,NA
5,"2-3 times per month",1331,3147,NA
6,"1 time per week",944,4091,NA
7,"2 times per week",1077,5168,NA
8,"3-4 times per week",730,5898,NA
9,"5-6 times per week",221,6119,NA
10,"1 time per day",113,6232,NA
11,"2 or more times per day",58,6290,NA
88,"Blank",149,6439,NA
99,"Error",33,6472,NA
