"FFQ0049.Code.or.Value","FFQ0049.Value.Description","FFQ0049.Count","FFQ0049.Cumulative","FFQ0049.Skip.to.Item"
1,"never",294,294,NA
2,"1-6 times per year",634,928,NA
3,"7-11 times per year",643,1571,NA
4,"1 time per month",673,2244,NA
5,"2-3 times per month",1492,3736,NA
6,"1 time per week",779,4515,NA
7,"2 times per week",905,5420,NA
8,"3-4 times per week",586,6006,NA
9,"5-6 times per week",188,6194,NA
10,"1 time per day",77,6271,NA
11,"2 or more times per day",25,6296,NA
88,"Blank",147,6443,NA
99,"Error",29,6472,NA
