"FFQ0057.Code.or.Value","FFQ0057.Value.Description","FFQ0057.Count","FFQ0057.Cumulative","FFQ0057.Skip.to.Item"
1,"never",1020,1020,NA
2,"1-6 times per year",926,1946,NA
3,"7-11 times per year",571,2517,NA
4,"1 time per month",483,3000,NA
5,"2-3 times per month",794,3794,NA
6,"1 time per week",533,4327,NA
7,"2 times per week",613,4940,NA
8,"3-4 times per week",652,5592,NA
9,"5-6 times per week",328,5920,NA
10,"1 time per day",297,6217,NA
11,"2 or more times per day",82,6299,NA
88,"Blank",147,6446,NA
99,"Error",26,6472,NA
