"FFQ0062.Code.or.Value","FFQ0062.Value.Description","FFQ0062.Count","FFQ0062.Cumulative","FFQ0062.Skip.to.Item"
1,"never",2071,2071,NA
2,"1-6 times per year",1733,3804,NA
3,"7-11 times per year",797,4601,NA
4,"1 time per month",668,5269,NA
5,"2-3 times per month",648,5917,NA
6,"1 time per week",209,6126,NA
7,"2 times per week",115,6241,NA
8,"3-4 times per week",59,6300,NA
9,"5-6 times per week",16,6316,NA
10,"1 time per day",13,6329,NA
11,"2 or more times per day",15,6344,NA
88,"Blank",99,6443,NA
99,"Error",29,6472,NA
