"FFQ0064.Code.or.Value","FFQ0064.Value.Description","FFQ0064.Count","FFQ0064.Cumulative","FFQ0064.Skip.to.Item"
1,"never",2013,2013,NA
2,"1-6 times per year",1246,3259,NA
3,"7-11 times per year",638,3897,NA
4,"1 time per month",536,4433,NA
5,"2-3 times per month",759,5192,NA
6,"1 time per week",416,5608,NA
7,"2 times per week",352,5960,NA
8,"3-4 times per week",195,6155,NA
9,"5-6 times per week",65,6220,NA
10,"1 time per day",103,6323,NA
11,"2 or more times per day",23,6346,NA
88,"Blank",101,6447,NA
99,"Error",25,6472,NA
