"FFQ0065.Code.or.Value","FFQ0065.Value.Description","FFQ0065.Count","FFQ0065.Cumulative","FFQ0065.Skip.to.Item"
1,"never",242,242,"FFQ0066"
2,"1-6 times per year",266,508,""
3,"7-11 times per year",351,859,""
4,"1 time per month",331,1190,""
5,"2-3 times per month",850,2040,""
6,"1 time per week",649,2689,""
7,"2 times per week",1007,3696,""
8,"3-4 times per week",1289,4985,""
9,"5-6 times per week",676,5661,""
10,"1 time per day",445,6106,""
11,"2 or more times per day",231,6337,""
88,"Blank",97,6434,""
99,"Error",38,6472,""
