"FFQ0070.Code.or.Value","FFQ0070.Value.Description","FFQ0070.Count","FFQ0070.Cumulative","FFQ0070.Skip.to.Item"
1,"never",1202,1202,NA
2,"1-6 times per year",841,2043,NA
3,"7-11 times per year",626,2669,NA
4,"1 time per month",526,3195,NA
5,"2-3 times per month",1121,4316,NA
6,"1 time per week",579,4895,NA
7,"2 times per week",672,5567,NA
8,"3-4 times per week",505,6072,NA
9,"5-6 times per week",169,6241,NA
10,"1 time per day",83,6324,NA
11,"2 or more times per day",46,6370,NA
88,"Blank",71,6441,NA
99,"Error",31,6472,NA
