"FFQ0088.Code.or.Value","FFQ0088.Value.Description","FFQ0088.Count","FFQ0088.Cumulative","FFQ0088.Skip.to.Item"
1,"never",4400,4400,NA
2,"1-6 times per year",1113,5513,NA
3,"7-11 times per year",305,5818,NA
4,"1 time per month",252,6070,NA
5,"2-3 times per month",163,6233,NA
6,"1 time per week",72,6305,NA
7,"2 times per week",29,6334,NA
8,"3-4 times per week",19,6353,NA
9,"5-6 times per week",11,6364,NA
10,"1 time per day",8,6372,NA
11,"2 or more times per day",5,6377,NA
88,"Blank",75,6452,NA
99,"Error",20,6472,NA
