"FFQ0093.Code.or.Value","FFQ0093.Value.Description","FFQ0093.Count","FFQ0093.Cumulative","FFQ0093.Skip.to.Item"
1,"never",5543,5543,NA
2,"1-6 times per year",435,5978,NA
3,"7-11 times per year",151,6129,NA
4,"1 time per month",84,6213,NA
5,"2-3 times per month",51,6264,NA
6,"1 time per week",18,6282,NA
7,"2 times per week",18,6300,NA
8,"3-4 times per week",7,6307,NA
9,"5-6 times per week",12,6319,NA
10,"1 time per day",6,6325,NA
11,"2 or more times per day",4,6329,NA
88,"Blank",132,6461,NA
99,"Error",11,6472,NA
