"FFQ0134.Code.or.Value","FFQ0134.Value.Description","FFQ0134.Count","FFQ0134.Cumulative","FFQ0134.Skip.to.Item"
1,"never",2037,2037,"FFQ0135"
2,"1-6 times per year",533,2570,""
3,"7-11 times per year",420,2990,""
4,"1 time per month",363,3353,""
5,"2-3 times per month",777,4130,""
6,"1 time per week",432,4562,""
7,"2 times per week",563,5125,""
8,"3-4 times per week",642,5767,""
9,"5-6 times per week",251,6018,""
10,"1 time per day",197,6215,""
11,"2 or more times per day",59,6274,""
88,"Blank",175,6449,""
99,"Error",23,6472,""
