"FFQ0139.Code.or.Value","FFQ0139.Value.Description","FFQ0139.Count","FFQ0139.Cumulative","FFQ0139.Skip.to.Item"
1,"never",619,619,NA
2,"1-6 times per year",518,1137,NA
3,"7-11 times per year",440,1577,NA
4,"1 time per month",386,1963,NA
5,"2-3 times per month",782,2745,NA
6,"1 time per week",601,3346,NA
7,"2 times per week",760,4106,NA
8,"3-4 times per week",983,5089,NA
9,"5-6 times per week",507,5596,NA
10,"1 time per day",450,6046,NA
11,"2 or more times per day",239,6285,NA
88,"Blank",151,6436,NA
99,"Error",36,6472,NA
