"PADACTIV.Code.or.Value","PADACTIV.Value.Description","PADACTIV.Count","PADACTIV.Cumulative","PADACTIV.Skip.to.Item"
"10","AEROBICS",523,523,NA
"11","BASEBALL",143,666,NA
"12","BASKETBALL",1176,1842,NA
"13","BICYCLING",865,2707,NA
"14","BOWLING",169,2876,NA
"15","DANCE",830,3706,NA
"16","FISHING",163,3869,NA
"17","FOOTBALL",469,4338,NA
"18","GARDENING",17,4355,NA
"19","GOLF",247,4602,NA
"20","HIKING",304,4906,NA
"21","HOCKEY",53,4959,NA
"22","HUNTING",71,5030,NA
"23","JOGGING",646,5676,NA
"24","KAYAKING",35,5711,NA
"25","PUSH-UPS",1,5712,NA
"26","RACQUETBALL",35,5747,NA
"27","ROLLERBLADING",107,5854,NA
"28","ROWING",41,5895,NA
"29","RUNNING",980,6875,NA
"30","SIT-UPS",6,6881,NA
"31","SKATING",128,7009,NA
"32","SKIING - CROSS COUNTRY",20,7029,NA
"33","SKIING - DOWNHILL",19,7048,NA
"34","SOCCER",349,7397,NA
"35","SOFTBALL",92,7489,NA
"36","STAIR CLIMBING",284,7773,NA
"37","STRETCHING",447,8220,NA
"38","SWIMMING",452,8672,NA
"39","TENNIS",158,8830,NA
"40","TREADMILL",454,9284,NA
"41","VOLLEYBALL",229,9513,NA
"42","WALKING",2096,11609,NA
"43","WEIGHT LIFTING",638,12247,NA
"44","YARD WORK",23,12270,NA
"50","BOXING",66,12336,NA
"51","FRISBEE",65,12401,NA
"52","HORSEBACK RIDING",31,12432,NA
"53","MARTIAL ARTS",63,12495,NA
"54","WRESTLING",99,12594,NA
"55","YOGA",119,12713,NA
"56","CHEERLEADING AND GYMNASTICS",23,12736,NA
"57","CHILDREN'S GAMES (E.G. DODGEBALL, KICKBALL)",17,12753,NA
"58","ROPE JUMPING",30,12783,NA
"59","SKATEBOARDING",19,12802,NA
"60","SURFING",4,12806,NA
"61","TRAMPOLINE JUMPING",8,12814,NA
"71","OTHER",53,12867,NA
".","Missing",0,12867,NA
