"FFQ0007.Code.or.Value","FFQ0007.Value.Description","FFQ0007.Count","FFQ0007.Cumulative","FFQ0007.Skip.to.Item"
1,"never",971,971,"FFQ0008"
2,"1 time per month or less",701,1672,""
3,"2-3 times per month",657,2329,""
4,"1-2 times per week",675,3004,""
5,"3-4 times per week",611,3615,""
6,"5-6 times per week",421,4036,""
7,"1 time per day",792,4828,""
8,"2-3 times per day",897,5725,""
9,"4-5 times per day",145,5870,""
10,"6 or more times per day",42,5912,""
88,"Blank",75,5987,""
99,"Error",26,6013,""
