"FFQ0013B.Code.or.Value","FFQ0013B.Value.Description","FFQ0013B.Count","FFQ0013B.Cumulative","FFQ0013B.Skip.to.Item"
1,"never",458,458,NA
2,"1-6 times per year",915,1373,NA
3,"7-11 times per year",393,1766,NA
4,"1 time per month",357,2123,NA
5,"2-3 times per month",679,2802,NA
6,"1 time per week",392,3194,NA
7,"2 times per week",507,3701,NA
8,"3-4 times per week",376,4077,NA
9,"5-6 times per week",140,4217,NA
10,"1 time per day",176,4393,NA
11,"2 or more times per day",38,4431,NA
88,"Blank",1567,5998,NA
99,"Error",15,6013,NA
