"FFQ0025A.Code.or.Value","FFQ0025A.Value.Description","FFQ0025A.Count","FFQ0025A.Cumulative","FFQ0025A.Skip.to.Item"
1,"never",117,117,NA
2,"1-6 times per season",1169,1286,NA
3,"7-11 times per season",624,1910,NA
4,"1 time per month",341,2251,NA
5,"2-3 times per month",727,2978,NA
6,"1 time per week",411,3389,NA
7,"2 times per week",636,4025,NA
8,"3-4 times per week",534,4559,NA
9,"5-6 times per week",195,4754,NA
10,"1 time per day",161,4915,NA
11,"2 or more times per day",114,5029,NA
88,"Blank",964,5993,NA
99,"Error",20,6013,NA
