"FFQ0027.Code.or.Value","FFQ0027.Value.Description","FFQ0027.Count","FFQ0027.Cumulative","FFQ0027.Skip.to.Item"
1,"never",1075,1075,NA
2,"1-6 times per year",1173,2248,NA
3,"7-11 times per year",614,2862,NA
4,"1 time per month",412,3274,NA
5,"2-3 times per month",726,4000,NA
6,"1 time per week",418,4418,NA
7,"2 times per week",513,4931,NA
8,"3-4 times per week",463,5394,NA
9,"5-6 times per week",189,5583,NA
10,"1 time per day",195,5778,NA
11,"2 or more times per day",128,5906,NA
88,"Blank",91,5997,NA
99,"Error",16,6013,NA
