"FFQ0046.Code.or.Value","FFQ0046.Value.Description","FFQ0046.Count","FFQ0046.Cumulative","FFQ0046.Skip.to.Item"
1,"never",2166,2166,NA
2,"1-6 times per year",1662,3828,NA
3,"7-11 times per year",567,4395,NA
4,"1 time per month",522,4917,NA
5,"2-3 times per month",562,5479,NA
6,"1 time per week",201,5680,NA
7,"2 times per week",133,5813,NA
8,"3-4 times per week",35,5848,NA
9,"5-6 times per week",16,5864,NA
10,"1 time per day",14,5878,NA
11,"2 or more times per day",10,5888,NA
88,"Blank",110,5998,NA
99,"Error",15,6013,NA
