"FFQ0064.Code.or.Value","FFQ0064.Value.Description","FFQ0064.Count","FFQ0064.Cumulative","FFQ0064.Skip.to.Item"
1,"never",1731,1731,NA
2,"1-6 times per year",1288,3019,NA
3,"7-11 times per year",625,3644,NA
4,"1 time per month",589,4233,NA
5,"2-3 times per month",732,4965,NA
6,"1 time per week",399,5364,NA
7,"2 times per week",293,5657,NA
8,"3-4 times per week",153,5810,NA
9,"5-6 times per week",46,5856,NA
10,"1 time per day",72,5928,NA
11,"2 or more times per day",13,5941,NA
88,"Blank",58,5999,NA
99,"Error",14,6013,NA
