"FFQ0105.Code.or.Value","FFQ0105.Value.Description","FFQ0105.Count","FFQ0105.Cumulative","FFQ0105.Skip.to.Item"
1,"never",2036,2036,NA
2,"1-6 times per year",1609,3645,NA
3,"7-11 times per year",624,4269,NA
4,"1 time per month",551,4820,NA
5,"2-3 times per month",556,5376,NA
6,"1 time per week",251,5627,NA
7,"2 times per week",134,5761,NA
8,"3-4 times per week",86,5847,NA
9,"5-6 times per week",40,5887,NA
10,"1 time per day",22,5909,NA
11,"2 or more times per day",14,5923,NA
88,"Blank",85,6008,NA
99,"Error",5,6013,NA
