"FFQ0010B.Code.or.Value","FFQ0010B.Value.Description","FFQ0010B.Count","FFQ0010B.Cumulative","FFQ0010B.Skip.to.Item"
1,"never",949,949,NA
2,"1 time per month or less",645,1594,NA
3,"2-3 times per month",404,1998,NA
4,"1-2 times per week",251,2249,NA
5,"3-4 times per week",114,2363,NA
6,"5-6 times per week",43,2406,NA
7,"1 time per day",58,2464,NA
8,"2-3 times per day",43,2507,NA
9,"4-5 times per day",24,2531,NA
10,"6 or more times per day",15,2546,NA
88,"Blank",3457,6003,NA
99,"Error",10,6013,NA
