"FFQ0025B.Code.or.Value","FFQ0025B.Value.Description","FFQ0025B.Count","FFQ0025B.Cumulative","FFQ0025B.Skip.to.Item"
1,"never",617,617,NA
2,"1-6 times per year",1297,1914,NA
3,"7-11 times per year",599,2513,NA
4,"1 time per month",490,3003,NA
5,"2-3 times per month",797,3800,NA
6,"1 time per week",388,4188,NA
7,"2 times per week",463,4651,NA
8,"3-4 times per week",270,4921,NA
9,"5-6 times per week",104,5025,NA
10,"1 time per day",102,5127,NA
11,"2 or more times per day",51,5178,NA
88,"Blank",821,5999,NA
99,"Error",14,6013,NA
