"FFQ0026A.Code.or.Value","FFQ0026A.Value.Description","FFQ0026A.Count","FFQ0026A.Cumulative","FFQ0026A.Skip.to.Item"
1,"never",496,496,NA
2,"1-6 times per season",743,1239,NA
3,"7-11 times per season",145,1384,NA
4,"1 time per month",187,1571,NA
5,"2-3 times per month",186,1757,NA
6,"1 time per week",142,1899,NA
7,"2 times per week",139,2038,NA
8,"3-4 times per week",72,2110,NA
9,"5-6 times per week",33,2143,NA
10,"1 time per day",37,2180,NA
11,"2 or more times per day",21,2201,NA
88,"Blank",3806,6007,NA
99,"Error",6,6013,NA
