"FFQ0030.Code.or.Value","FFQ0030.Value.Description","FFQ0030.Count","FFQ0030.Cumulative","FFQ0030.Skip.to.Item"
1,"never",2262,2262,NA
2,"1-6 times per year",1400,3662,NA
3,"7-11 times per year",589,4251,NA
4,"1 time per month",523,4774,NA
5,"2-3 times per month",611,5385,NA
6,"1 time per week",229,5614,NA
7,"2 times per week",171,5785,NA
8,"3-4 times per week",72,5857,NA
9,"5-6 times per week",20,5877,NA
10,"1 time per day",19,5896,NA
11,"2 or more times per day",3,5899,NA
88,"Blank",90,5989,NA
99,"Error",24,6013,NA
