"FFQ0031.Code.or.Value","FFQ0031.Value.Description","FFQ0031.Count","FFQ0031.Cumulative","FFQ0031.Skip.to.Item"
1,"never",2279,2279,NA
2,"1-6 times per year",1570,3849,NA
3,"7-11 times per year",575,4424,NA
4,"1 time per month",485,4909,NA
5,"2-3 times per month",547,5456,NA
6,"1 time per week",204,5660,NA
7,"2 times per week",153,5813,NA
8,"3-4 times per week",47,5860,NA
9,"5-6 times per week",14,5874,NA
10,"1 time per day",19,5893,NA
11,"2 or more times per day",11,5904,NA
88,"Blank",90,5994,NA
99,"Error",19,6013,NA
