"FFQ0036.Code.or.Value","FFQ0036.Value.Description","FFQ0036.Count","FFQ0036.Cumulative","FFQ0036.Skip.to.Item"
1,"never",1094,1094,NA
2,"1-6 times per year",836,1930,NA
3,"7-11 times per year",570,2500,NA
4,"1 time per month",626,3126,NA
5,"2-3 times per month",1105,4231,NA
6,"1 time per week",718,4949,NA
7,"2 times per week",545,5494,NA
8,"3-4 times per week",284,5778,NA
9,"5-6 times per week",79,5857,NA
10,"1 time per day",52,5909,NA
11,"2 or more times per day",11,5920,NA
88,"Blank",72,5992,NA
99,"Error",21,6013,NA
