"FFQ0037.Code.or.Value","FFQ0037.Value.Description","FFQ0037.Count","FFQ0037.Cumulative","FFQ0037.Skip.to.Item"
1,"never",2886,2886,NA
2,"1-6 times per year",1044,3930,NA
3,"7-11 times per year",387,4317,NA
4,"1 time per month",489,4806,NA
5,"2-3 times per month",516,5322,NA
6,"1 time per week",303,5625,NA
7,"2 times per week",173,5798,NA
8,"3-4 times per week",75,5873,NA
9,"5-6 times per week",19,5892,NA
10,"1 time per day",19,5911,NA
11,"2 or more times per day",5,5916,NA
88,"Blank",80,5996,NA
99,"Error",17,6013,NA
