"FFQ0041.Code.or.Value","FFQ0041.Value.Description","FFQ0041.Count","FFQ0041.Cumulative","FFQ0041.Skip.to.Item"
1,"never",1634,1634,NA
2,"1-6 times per year",937,2571,NA
3,"7-11 times per year",558,3129,NA
4,"1 time per month",502,3631,NA
5,"2-3 times per month",867,4498,NA
6,"1 time per week",475,4973,NA
7,"2 times per week",467,5440,NA
8,"3-4 times per week",285,5725,NA
9,"5-6 times per week",82,5807,NA
10,"1 time per day",79,5886,NA
11,"2 or more times per day",25,5911,NA
88,"Blank",84,5995,NA
99,"Error",18,6013,NA
