"FFQ0045.Code.or.Value","FFQ0045.Value.Description","FFQ0045.Count","FFQ0045.Cumulative","FFQ0045.Skip.to.Item"
1,"never",964,964,NA
2,"1-6 times per year",488,1452,NA
3,"7-11 times per year",412,1864,NA
4,"1 time per month",388,2252,NA
5,"2-3 times per month",1022,3274,NA
6,"1 time per week",642,3916,NA
7,"2 times per week",832,4748,NA
8,"3-4 times per week",694,5442,NA
9,"5-6 times per week",259,5701,NA
10,"1 time per day",152,5853,NA
11,"2 or more times per day",39,5892,NA
88,"Blank",111,6003,NA
99,"Error",10,6013,NA
