"FFQ0047.Code.or.Value","FFQ0047.Value.Description","FFQ0047.Count","FFQ0047.Cumulative","FFQ0047.Skip.to.Item"
1,"never",209,209,NA
2,"1-6 times per year",460,669,NA
3,"7-11 times per year",479,1148,NA
4,"1 time per month",558,1706,NA
5,"2-3 times per month",1383,3089,NA
6,"1 time per week",937,4026,NA
7,"2 times per week",965,4991,NA
8,"3-4 times per week",586,5577,NA
9,"5-6 times per week",186,5763,NA
10,"1 time per day",93,5856,NA
11,"2 or more times per day",30,5886,NA
88,"Blank",107,5993,NA
99,"Error",20,6013,NA
