"FFQ0048.Code.or.Value","FFQ0048.Value.Description","FFQ0048.Count","FFQ0048.Cumulative","FFQ0048.Skip.to.Item"
1,"never",1529,1529,NA
2,"1-6 times per year",1706,3235,NA
3,"7-11 times per year",840,4075,NA
4,"1 time per month",755,4830,NA
5,"2-3 times per month",675,5505,NA
6,"1 time per week",217,5722,NA
7,"2 times per week",98,5820,NA
8,"3-4 times per week",38,5858,NA
9,"5-6 times per week",17,5875,NA
10,"1 time per day",16,5891,NA
11,"2 or more times per day",4,5895,NA
88,"Blank",104,5999,NA
99,"Error",14,6013,NA
