"FFQ0053.Code.or.Value","FFQ0053.Value.Description","FFQ0053.Count","FFQ0053.Cumulative","FFQ0053.Skip.to.Item"
1,"never",1447,1447,NA
2,"1-6 times per year",2376,3823,NA
3,"7-11 times per year",717,4540,NA
4,"1 time per month",570,5110,NA
5,"2-3 times per month",458,5568,NA
6,"1 time per week",166,5734,NA
7,"2 times per week",97,5831,NA
8,"3-4 times per week",37,5868,NA
9,"5-6 times per week",23,5891,NA
10,"1 time per day",11,5902,NA
11,"2 or more times per day",9,5911,NA
88,"Blank",85,5996,NA
99,"Error",17,6013,NA
