"FFQ0054.Code.or.Value","FFQ0054.Value.Description","FFQ0054.Count","FFQ0054.Cumulative","FFQ0054.Skip.to.Item"
1,"never",1375,1375,NA
2,"1-6 times per year",1734,3109,NA
3,"7-11 times per year",897,4006,NA
4,"1 time per month",701,4707,NA
5,"2-3 times per month",635,5342,NA
6,"1 time per week",201,5543,NA
7,"2 times per week",151,5694,NA
8,"3-4 times per week",89,5783,NA
9,"5-6 times per week",49,5832,NA
10,"1 time per day",47,5879,NA
11,"2 or more times per day",37,5916,NA
88,"Blank",82,5998,NA
99,"Error",15,6013,NA
