"FFQ0059.Code.or.Value","FFQ0059.Value.Description","FFQ0059.Count","FFQ0059.Cumulative","FFQ0059.Skip.to.Item"
1,"never",458,458,"FFQ0060"
2,"1-6 times per year",991,1449,""
3,"7-11 times per year",741,2190,""
4,"1 time per month",784,2974,""
5,"2-3 times per month",1242,4216,""
6,"1 time per week",680,4896,""
7,"2 times per week",568,5464,""
8,"3-4 times per week",284,5748,""
9,"5-6 times per week",82,5830,""
10,"1 time per day",82,5912,""
11,"2 or more times per day",22,5934,""
88,"Blank",64,5998,""
99,"Error",15,6013,""
