"FFQ0065.Code.or.Value","FFQ0065.Value.Description","FFQ0065.Count","FFQ0065.Cumulative","FFQ0065.Skip.to.Item"
1,"never",191,191,"FFQ0066"
2,"1-6 times per year",263,454,""
3,"7-11 times per year",327,781,""
4,"1 time per month",298,1079,""
5,"2-3 times per month",912,1991,""
6,"1 time per week",636,2627,""
7,"2 times per week",1018,3645,""
8,"3-4 times per week",1150,4795,""
9,"5-6 times per week",548,5343,""
10,"1 time per day",416,5759,""
11,"2 or more times per day",171,5930,""
88,"Blank",58,5988,""
99,"Error",25,6013,""
