"FFQ0066.Code.or.Value","FFQ0066.Value.Description","FFQ0066.Count","FFQ0066.Cumulative","FFQ0066.Skip.to.Item"
1,"never",755,755,"FFQ0067"
2,"1-6 times per year",722,1477,""
3,"7-11 times per year",511,1988,""
4,"1 time per month",541,2529,""
5,"2-3 times per month",949,3478,""
6,"1 time per week",725,4203,""
7,"2 times per week",747,4950,""
8,"3-4 times per week",492,5442,""
9,"5-6 times per week",168,5610,""
10,"1 time per day",213,5823,""
11,"2 or more times per day",83,5906,""
88,"Blank",86,5992,""
99,"Error",21,6013,""
