"FFQ0067.Code.or.Value","FFQ0067.Value.Description","FFQ0067.Count","FFQ0067.Cumulative","FFQ0067.Skip.to.Item"
1,"never",1257,1257,NA
2,"1-6 times per year",905,2162,NA
3,"7-11 times per year",541,2703,NA
4,"1 time per month",517,3220,NA
5,"2-3 times per month",858,4078,NA
6,"1 time per week",601,4679,NA
7,"2 times per week",539,5218,NA
8,"3-4 times per week",391,5609,NA
9,"5-6 times per week",138,5747,NA
10,"1 time per day",151,5898,NA
11,"2 or more times per day",34,5932,NA
88,"Blank",64,5996,NA
99,"Error",17,6013,NA
