"FFQ0075.Code.or.Value","FFQ0075.Value.Description","FFQ0075.Count","FFQ0075.Cumulative","FFQ0075.Skip.to.Item"
1,"never",403,403,"FFQ0076"
2,"1-6 times per year",577,980,""
3,"7-11 times per year",551,1531,""
4,"1 time per month",771,2302,""
5,"2-3 times per month",1690,3992,""
6,"1 time per week",968,4960,""
7,"2 times per week",561,5521,""
8,"3-4 times per week",266,5787,""
9,"5-6 times per week",78,5865,""
10,"1 time per day",33,5898,""
11,"2 or more times per day",20,5918,""
88,"Blank",81,5999,""
99,"Error",14,6013,""
