"FFQ0077.Code.or.Value","FFQ0077.Value.Description","FFQ0077.Count","FFQ0077.Cumulative","FFQ0077.Skip.to.Item"
1,"never",857,857,"FFQ0078"
2,"1-6 times per year",1083,1940,""
3,"7-11 times per year",762,2702,""
4,"1 time per month",864,3566,""
5,"2-3 times per month",1285,4851,""
6,"1 time per week",534,5385,""
7,"2 times per week",316,5701,""
8,"3-4 times per week",119,5820,""
9,"5-6 times per week",38,5858,""
10,"1 time per day",31,5889,""
11,"2 or more times per day",16,5905,""
88,"Blank",97,6002,""
99,"Error",11,6013,""
