"FFQ0081.Code.or.Value","FFQ0081.Value.Description","FFQ0081.Count","FFQ0081.Cumulative","FFQ0081.Skip.to.Item"
1,"never",1321,1321,NA
2,"1-6 times per year",1628,2949,NA
3,"7-11 times per year",884,3833,NA
4,"1 time per month",805,4638,NA
5,"2-3 times per month",734,5372,NA
6,"1 time per week",317,5689,NA
7,"2 times per week",132,5821,NA
8,"3-4 times per week",60,5881,NA
9,"5-6 times per week",20,5901,NA
10,"1 time per day",15,5916,NA
11,"2 or more times per day",3,5919,NA
88,"Blank",77,5996,NA
99,"Error",17,6013,NA
