"FFQ0082.Code.or.Value","FFQ0082.Value.Description","FFQ0082.Count","FFQ0082.Cumulative","FFQ0082.Skip.to.Item"
1,"never",1823,1823,NA
2,"1-6 times per year",1912,3735,NA
3,"7-11 times per year",655,4390,NA
4,"1 time per month",535,4925,NA
5,"2-3 times per month",547,5472,NA
6,"1 time per week",199,5671,NA
7,"2 times per week",121,5792,NA
8,"3-4 times per week",74,5866,NA
9,"5-6 times per week",32,5898,NA
10,"1 time per day",24,5922,NA
11,"2 or more times per day",12,5934,NA
88,"Blank",67,6001,NA
99,"Error",12,6013,NA
