"FFQ0085.Code.or.Value","FFQ0085.Value.Description","FFQ0085.Count","FFQ0085.Cumulative","FFQ0085.Skip.to.Item"
1,"never",1579,1579,NA
2,"1-6 times per year",2225,3804,NA
3,"7-11 times per year",791,4595,NA
4,"1 time per month",639,5234,NA
5,"2-3 times per month",436,5670,NA
6,"1 time per week",134,5804,NA
7,"2 times per week",73,5877,NA
8,"3-4 times per week",24,5901,NA
9,"5-6 times per week",21,5922,NA
10,"1 time per day",11,5933,NA
11,"2 or more times per day",5,5938,NA
88,"Blank",67,6005,NA
99,"Error",8,6013,NA
