"FFQ0087.Code.or.Value","FFQ0087.Value.Description","FFQ0087.Count","FFQ0087.Cumulative","FFQ0087.Skip.to.Item"
1,"never",1252,1252,NA
2,"1-6 times per year",1358,2610,NA
3,"7-11 times per year",835,3445,NA
4,"1 time per month",622,4067,NA
5,"2-3 times per month",960,5027,NA
6,"1 time per week",379,5406,NA
7,"2 times per week",307,5713,NA
8,"3-4 times per week",157,5870,NA
9,"5-6 times per week",40,5910,NA
10,"1 time per day",25,5935,NA
11,"2 or more times per day",13,5948,NA
88,"Blank",53,6001,NA
99,"Error",12,6013,NA
