"FFQ0089.Code.or.Value","FFQ0089.Value.Description","FFQ0089.Count","FFQ0089.Cumulative","FFQ0089.Skip.to.Item"
1,"never",893,893,"FFQ0090"
2,"1-6 times per year",902,1795,""
3,"7-11 times per year",789,2584,""
4,"1 time per month",758,3342,""
5,"2-3 times per month",1273,4615,""
6,"1 time per week",616,5231,""
7,"2 times per week",359,5590,""
8,"3-4 times per week",216,5806,""
9,"5-6 times per week",53,5859,""
10,"1 time per day",49,5908,""
11,"2 or more times per day",16,5924,""
88,"Blank",81,6005,""
99,"Error",8,6013,""
