"FFQ0091.Code.or.Value","FFQ0091.Value.Description","FFQ0091.Count","FFQ0091.Cumulative","FFQ0091.Skip.to.Item"
1,"never",3087,3087,NA
2,"1-6 times per year",1069,4156,NA
3,"7-11 times per year",509,4665,NA
4,"1 time per month",449,5114,NA
5,"2-3 times per month",468,5582,NA
6,"1 time per week",177,5759,NA
7,"2 times per week",85,5844,NA
8,"3-4 times per week",59,5903,NA
9,"5-6 times per week",9,5912,NA
10,"1 time per day",8,5920,NA
11,"2 or more times per day",7,5927,NA
88,"Blank",74,6001,NA
99,"Error",12,6013,NA
