"FFQ0094.Code.or.Value","FFQ0094.Value.Description","FFQ0094.Count","FFQ0094.Cumulative","FFQ0094.Skip.to.Item"
1,"never",1437,1437,NA
2,"1-6 times per year",1456,2893,NA
3,"7-11 times per year",917,3810,NA
4,"1 time per month",773,4583,NA
5,"2-3 times per month",830,5413,NA
6,"1 time per week",296,5709,NA
7,"2 times per week",123,5832,NA
8,"3-4 times per week",44,5876,NA
9,"5-6 times per week",22,5898,NA
10,"1 time per day",19,5917,NA
11,"2 or more times per day",8,5925,NA
88,"Blank",73,5998,NA
99,"Error",15,6013,NA
