"FFQ0096.Code.or.Value","FFQ0096.Value.Description","FFQ0096.Count","FFQ0096.Cumulative","FFQ0096.Skip.to.Item"
1,"never",5047,5047,NA
2,"1-6 times per year",412,5459,NA
3,"7-11 times per year",111,5570,NA
4,"1 time per month",116,5686,NA
5,"2-3 times per month",75,5761,NA
6,"1 time per week",54,5815,NA
7,"2 times per week",46,5861,NA
8,"3-4 times per week",40,5901,NA
9,"5-6 times per week",11,5912,NA
10,"1 time per day",9,5921,NA
11,"2 or more times per day",5,5926,NA
88,"Blank",87,6013,NA
99,"Error",0,6013,NA
