"FFQ0097B.Code.or.Value","FFQ0097B.Value.Description","FFQ0097B.Count","FFQ0097B.Cumulative","FFQ0097B.Skip.to.Item"
1,"never",315,315,NA
2,"1-6 times per year",1343,1658,NA
3,"7-11 times per year",737,2395,NA
4,"1 time per month",776,3171,NA
5,"2-3 times per month",1000,4171,NA
6,"1 time per week",496,4667,NA
7,"2 times per week",389,5056,NA
8,"3-4 times per week",206,5262,NA
9,"5-6 times per week",64,5326,NA
10,"1 time per day",51,5377,NA
11,"2 or more times per day",18,5395,NA
88,"Blank",606,6001,NA
99,"Error",12,6013,NA
