"FFQ0101.Code.or.Value","FFQ0101.Value.Description","FFQ0101.Count","FFQ0101.Cumulative","FFQ0101.Skip.to.Item"
1,"never",812,812,NA
2,"1-6 times per year",1608,2420,NA
3,"7-11 times per year",897,3317,NA
4,"1 time per month",695,4012,NA
5,"2-3 times per month",922,4934,NA
6,"1 time per week",386,5320,NA
7,"2 times per week",346,5666,NA
8,"3-4 times per week",150,5816,NA
9,"5-6 times per week",45,5861,NA
10,"1 time per day",41,5902,NA
11,"2 or more times per day",16,5918,NA
88,"Blank",80,5998,NA
99,"Error",15,6013,NA
