"FFQ0106.Code.or.Value","FFQ0106.Value.Description","FFQ0106.Count","FFQ0106.Cumulative","FFQ0106.Skip.to.Item"
1,"never",1077,1077,NA
2,"1-6 times per year",1042,2119,NA
3,"7-11 times per year",779,2898,NA
4,"1 time per month",733,3631,NA
5,"2-3 times per month",973,4604,NA
6,"1 time per week",456,5060,NA
7,"2 times per week",379,5439,NA
8,"3-4 times per week",248,5687,NA
9,"5-6 times per week",86,5773,NA
10,"1 time per day",128,5901,NA
11,"2 or more times per day",38,5939,NA
88,"Blank",52,5991,NA
99,"Error",22,6013,NA
