"FFQ0108.Code.or.Value","FFQ0108.Value.Description","FFQ0108.Count","FFQ0108.Cumulative","FFQ0108.Skip.to.Item"
1,"never",1809,1809,NA
2,"1-6 times per year",769,2578,NA
3,"7-11 times per year",559,3137,NA
4,"1 time per month",418,3555,NA
5,"2-3 times per month",800,4355,NA
6,"1 time per week",373,4728,NA
7,"2 times per week",454,5182,NA
8,"3-4 times per week",419,5601,NA
9,"5-6 times per week",132,5733,NA
10,"1 time per day",183,5916,NA
11,"2 or more times per day",38,5954,NA
88,"Blank",51,6005,NA
99,"Error",8,6013,NA
