"FFQ0109.Code.or.Value","FFQ0109.Value.Description","FFQ0109.Count","FFQ0109.Cumulative","FFQ0109.Skip.to.Item"
1,"never",3386,3386,NA
2,"1-6 times per year",816,4202,NA
3,"7-11 times per year",422,4624,NA
4,"1 time per month",364,4988,NA
5,"2-3 times per month",431,5419,NA
6,"1 time per week",183,5602,NA
7,"2 times per week",192,5794,NA
8,"3-4 times per week",80,5874,NA
9,"5-6 times per week",37,5911,NA
10,"1 time per day",24,5935,NA
11,"2 or more times per day",8,5943,NA
88,"Blank",57,6000,NA
99,"Error",13,6013,NA
