"FFQ0111.Code.or.Value","FFQ0111.Value.Description","FFQ0111.Count","FFQ0111.Cumulative","FFQ0111.Skip.to.Item"
1,"never",2543,2543,NA
2,"1-6 times per year",1232,3775,NA
3,"7-11 times per year",556,4331,NA
4,"1 time per month",465,4796,NA
5,"2-3 times per month",544,5340,NA
6,"1 time per week",213,5553,NA
7,"2 times per week",169,5722,NA
8,"3-4 times per week",107,5829,NA
9,"5-6 times per week",31,5860,NA
10,"1 time per day",50,5910,NA
11,"2 or more times per day",11,5921,NA
88,"Blank",83,6004,NA
99,"Error",9,6013,NA
